?????	???????	?????	???	????????	??????
8,481.7	99,746.9	149,228.0	40.6	9.6	0.9
21,453.6	60,847.0	182,134.1	41.3	7.1	1.0
14,839.2	54,175.9	172,706.1	46.5	7.0	0.8
23,755.7	78,621.9	249,820.9	47.9	8.4	0.9
7,519.8	83,463.9	112,457.2	36.5	7.6	0.9
26,152.2	91,338.9	138,830.2	39.9	6.6	1.0
22,305.9	128,105.3	114,200.7	41.6	6.7	0.9
18,040.2	141,794.7	216,842.0	34.2	8.1	0.7
27,737.6	95,420.2	178,580.2	48.6	8.0	0.8
18,977.5	52,722.9	231,419.6	32.9	8.1	0.7
26,002.8	92,406.7	124,730.3	48.2	9.2	0.8
10,372.2	133,552.3	154,018.0	36.2	9.4	0.8
22,025.0	141,766.8	138,926.7	46.3	7.0	0.7
7,319.2	134,083.9	187,157.1	40.3	8.3	0.8
29,998.0	101,611.6	213,759.8	42.6	6.8	0.7
27,483.0	145,721.3	123,338.6	38.1	9.2	1.0
16,517.0	63,762.6	127,172.7	40.3	6.8	0.9
15,170.4	54,665.8	230,691.2	31.7	9.8	0.7
12,024.2	124,383.8	179,744.4	36.0	6.9	0.7
6,646.9	55,426.3	140,819.2	46.2	6.8	0.7
26,750.5	147,406.3	122,790.9	34.8	7.8	0.8
28,725.7	100,910.4	199,148.0	41.3	8.5	0.8
23,978.2	116,177.7	243,218.1	40.6	9.3	0.7
12,337.2	96,792.1	107,196.7	32.7	8.1	1.0
17,516.9	85,145.7	220,323.7	30.8	7.1	0.9
13,782.0	69,794.8	127,292.5	31.7	9.6	0.8
20,433.2	140,867.1	240,381.7	33.4	6.1	1.0
29,807.1	106,216.0	131,454.2	33.9	9.6	0.7
9,186.2	131,557.1	240,473.9	44.0	8.4	0.7
6,715.4	149,281.3	248,192.8	38.7	9.8	1.0
